geneID	geneSymbol	geneNames	GOTerms	GemmaIDs	NCBIids	platform
Slc35a4	Slc35a4	solute carrier family 35, member A4	GO:0006810|GO:0008643	665737|	67843|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Ilf2	Ilf2	interleukin enhancer binding factor 2	GO:0006351|GO:0006355|GO:0006955|GO:0045893	664963	67781	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Phc2	Phc2	polyhomeotic-like 2 (Drosophila)	GO:0007275|GO:0007283	619631|	54383|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Nin	Nin	ninein	GO:0034454|GO:0090222	546655|	18080|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Hip1r	Hip1r	huntingtin interacting protein 1 related	GO:0006897|GO:0006898	|606691	|29816	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Cort	Cort	cortistatin	GO:0007193|GO:0007218|GO:0045187	494654	12854	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Msi2	Msi2	musashi RNA-binding protein 2	GO:0048864	|729878	|76626	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Asphd1	Asphd1	aspartate beta-hydroxylase domain containing 1	GO:0018193|GO:0055114	|824080	|233879	GPL11180|GPL1261|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Cyfip1	Cyfip1	cytoplasmic FMR1 interacting protein 1	GO:0007275|GO:0007399|GO:0008360|GO:0016601|GO:0030032|GO:0030154|GO:0048675|GO:0050890|GO:2000601	571306|	20430|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Unc13a	Unc13a	unc-13 homolog A (C. elegans)	GO:0001956|GO:0006887|GO:0007268|GO:0007269|GO:0007528|GO:0010807|GO:0016081|GO:0016082|GO:0016188|GO:0035249|GO:0035556|GO:0048172|GO:0050435|GO:0060291|GO:0060384|GO:1903861	|876508	|382018	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL8321
Glis1	Glis1	GLIS family zinc finger 1	GO:0000122|GO:0006351|GO:0006355|GO:0006357|GO:0006366|GO:0045893|GO:0045944	|816828	|230587	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Hint3	Hint3	histidine triad nucleotide binding protein 3		651305|	66847|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Tle2	Tle2	transducin-like enhancer of split 2, homolog of Drosophila E(spl)	GO:0006351|GO:0006355|GO:0016055|GO:0045892|GO:0090090	|583394	|21886	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Ankrd13d	Ankrd13d	ankyrin repeat domain 13 family, member D		672650|	68423|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Asap1	Asap1	ArfGAP with SH3 domain, ankyrin repeat and PH domain1	GO:0030030|GO:0043547|GO:0060271|GO:0061000	499540	13196	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rab36	Rab36	RAB36, member RAS oncogene family	GO:0006810|GO:0006886|GO:0007264|GO:0015031|GO:0032482	|731824	|76877	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Dnmbp	Dnmbp	dynamin binding protein	GO:0035023|GO:0035556	698760|	71972|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Mecr	Mecr	mitochondrial trans-2-enoyl-CoA reductase	GO:0006629|GO:0006631|GO:0006633|GO:0055114	600588|	26922|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Col9a1	Col9a1	collagen, type IX, alpha 1	GO:0001894|GO:0003417|GO:0051216	494384|	12839|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Gucy1b3	Gucy1b3	guanylate cyclase 1, soluble, beta 3	GO:0006182|GO:0007263|GO:0009190|GO:0035556	|618813	|54195	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
C1qtnf4	C1qtnf4	C1q and tumor necrosis factor related protein 4		660375|	67445|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Bmpr2	Bmpr2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	GO:0001707|GO:0001893|GO:0001934|GO:0001935|GO:0001938|GO:0001946|GO:0001974|GO:0002063|GO:0003085|GO:0006366|GO:0006468|GO:0007178|GO:0009952|GO:0010595|GO:0010634|GO:0010862|GO:0014916|GO:0016310|GO:0030308|GO:0030501|GO:0030509|GO:0030513|GO:0042127|GO:0045669|GO:0045906|GO:0048010|GO:0048286|GO:0048842|GO:0060173|GO:0060836|GO:0060840|GO:0060841|GO:0061298|GO:0072577|GO:1902731|GO:2000279	484602|	12168|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ddias	Ddias	DNA damage-induced apoptosis suppressor	GO:0006915|GO:0006974|GO:0007049|GO:0007050|GO:0007286|GO:0030097|GO:0034644|GO:0071345|GO:0071447|GO:0071480|GO:0071850|GO:2000270	712401	74041	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Eif4g3	Eif4g3	eukaryotic translation initiation factor 4 gamma, 3	GO:0001934|GO:0006412|GO:0006413|GO:0006417|GO:0007283|GO:0045727|GO:0060903	817807|	230861|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Wdr13	Wdr13	WD repeat domain 13		709164	73447	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rcsd1	Rcsd1	RCSD domain containing 1	GO:0071474	|809650	|226594	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Spns2	Spns2	spinster homolog 2	GO:0001782|GO:0002260|GO:0002920|GO:0003376|GO:0006665|GO:0006810|GO:0006869|GO:0043029|GO:0048073|GO:0048535|GO:0055085|GO:0060348|GO:0072676	|798482	|216892	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL8321
Zfp579	Zfp579	zinc finger protein 579	GO:0006351|GO:0006355	673075	68490	GPL11180|GPL1261|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Fam78a	Fam78a	family with sequence similarity 78, member A		|833899	|241303	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Ninj2	Ninj2	ninjurin 2	GO:0007155|GO:0042246	606969	29862	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Wfdc18	Wfdc18	WAP four-disulfide core domain 18	GO:0010466	506684	14038	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Helz2	Helz2	helicase with zinc finger 2, transcriptional coactivator	GO:0006351|GO:0006355|GO:0045944	814003	229003	GPL1261|GPL339|GPL6096|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Lrrtm3	Lrrtm3	leucine rich repeat transmembrane neuronal 3	GO:0051965|GO:1902004	|796368	|216028	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Ntrk2	Ntrk2	neurotrophic tyrosine kinase, receptor, type 2	GO:0001570|GO:0001764|GO:0006468|GO:0007169|GO:0007275|GO:0007399|GO:0007528|GO:0007612|GO:0007616|GO:0007631|GO:0008284|GO:0010628|GO:0010976|GO:0014047|GO:0014068|GO:0016310|GO:0018108|GO:0019222|GO:0021954|GO:0021987|GO:0030154|GO:0030182|GO:0031547|GO:0033138|GO:0035584|GO:0038179|GO:0042490|GO:0043087|GO:0043408|GO:0043410|GO:0043524|GO:0046548|GO:0046777|GO:0046928|GO:0048709|GO:0048935|GO:0050772|GO:0050773|GO:0051896|GO:0051965|GO:0051968|GO:0060041|GO:0060291|GO:0071230|GO:2000324|GO:2000811	548607|	18212|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Cdh13	Cdh13	cadherin 13	GO:0001558|GO:0001938|GO:0001954|GO:0002040|GO:0007155|GO:0007156|GO:0007162|GO:0007266|GO:0008285|GO:0016339|GO:0016601|GO:0030032|GO:0030100|GO:0030335|GO:0042058|GO:0043542|GO:0043616|GO:0045944|GO:0048661|GO:0050850|GO:0050927|GO:0051668|GO:0055096	490712|	12554|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Slc32a1	Slc32a1	solute carrier family 32 (GABA vesicular transporter), member 1	GO:0006810|GO:0006836|GO:0015812|GO:0015816|GO:0015992|GO:0035725|GO:1902475	589819|	22348|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Wipi2	Wipi2	WD repeat domain, phosphoinositide interacting 2	GO:0000045|GO:0000422|GO:0006497|GO:0006914|GO:0006995|GO:0034497|GO:0044804	719515|	74781|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Aldoart2	Aldoart2	aldolase 1 A, retrogene 2		741965	79459	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Gnaz	Gnaz	guanine nucleotide binding protein, alpha z subunit	GO:0007165|GO:0007186|GO:0007188|GO:0007193	|514556	|14687	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Snai3	Snai3	snail family zinc finger 3	GO:0000122|GO:0006351|GO:0006355|GO:0006357|GO:0006366	608026|	30927|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Tec	Tec	tec protein tyrosine kinase	GO:0002250|GO:0002376|GO:0006468|GO:0007169|GO:0007229|GO:0010543|GO:0016310|GO:0030154|GO:0035556|GO:0038083|GO:0042127|GO:0042246|GO:0045087|GO:0050731|GO:0050852|GO:0050853	581316	21682	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Smim19	Smim19	small integral membrane protein 19		757683	102032	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6885|GPL7042|GPL7202|GPL8321
Nat14	Nat14	N-acetyltransferase 14	GO:0006351|GO:0006355	|852146	|269854	GPL11180|GPL1261|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Tbx1	Tbx1	T-box 1	GO:0000122|GO:0001525|GO:0001568|GO:0001569|GO:0001708|GO:0001755|GO:0001934|GO:0001945|GO:0001974|GO:0002053|GO:0003007|GO:0003148|GO:0003151|GO:0006351|GO:0006355|GO:0006357|GO:0006366|GO:0007275|GO:0007368|GO:0007389|GO:0007498|GO:0007507|GO:0007517|GO:0007605|GO:0008283|GO:0008284|GO:0009952|GO:0021644|GO:0030855|GO:0030878|GO:0035176|GO:0035909|GO:0042471|GO:0042472|GO:0042473|GO:0042474|GO:0042475|GO:0042693|GO:0043410|GO:0043587|GO:0044344|GO:0045596|GO:0045893|GO:0045944|GO:0048384|GO:0048514|GO:0048538|GO:0048644|GO:0048701|GO:0048703|GO:0048752|GO:0048844|GO:0050679|GO:0060017|GO:0060023|GO:0060037|GO:0060325|GO:0060415|GO:0060982|GO:0070166|GO:0071600|GO:0072513|GO:0090103|GO:0097152|GO:2000027|GO:2001037|GO:2001054	579793|	21380|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Acta1	Acta1	actin, alpha 1, skeletal muscle	GO:0030240|GO:0048741	|475281	|11459	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Adprhl2	Adprhl2	ADP-ribosylhydrolase like 2	GO:0071451	754916	100206	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Wdr43	Wdr43	WD repeat domain 43		703752	72515	GPL11180|GPL1261|GPL339|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Pgr	Pgr	progesterone receptor	GO:0001542|GO:0002070|GO:0006351|GO:0006355|GO:0006357|GO:0006366|GO:0008284|GO:0014911|GO:0030522|GO:0030879|GO:0038001|GO:0042220|GO:0043066|GO:0043401|GO:0045893|GO:0045944|GO:0048286|GO:0050678|GO:0050847|GO:0060180|GO:0060748	553380|	18667|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rpain	Rpain	RPA interacting protein	GO:0006261|GO:0006281|GO:0006310|GO:0006606|GO:0009411	682764|	69723|	GPL11180|GPL1261|GPL6096|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Tlcd1	Tlcd1	TLC domain containing 1		|672473	|68385	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Afg3l1	Afg3l1	AFG3-like AAA ATPase 1	GO:0006508|GO:0007005|GO:0008053|GO:0034982|GO:0042407	776854	114896	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Fbxl8	Fbxl8	F-box and leucine-rich repeat protein 8		610059	50788	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Mvb12b	Mvb12b	multivesicular body subunit 12B	GO:0006810|GO:0015031|GO:0019075|GO:0042058|GO:0048524	703921	72543	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Sass6	Sass6	spindle assembly 6 homolog (C. elegans)	GO:0007049|GO:0007099|GO:0051298	|705514	|72776	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Med12l	Med12l	mediator complex subunit 12-like	GO:0006351|GO:0006355|GO:0006357|GO:0006366|GO:0045944	|867959	|329650	GPL11180|GPL1261|GPL339|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Acaa1b	Acaa1b	acetyl-Coenzyme A acyltransferase 1B	GO:0006629|GO:0006631|GO:0008152	|828033	|235674	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6885|GPL81|GPL8321
Nat8l	Nat8l	N-acetyltransferase 8-like	GO:0008152|GO:0051586	|851542	|269642	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202
Ddit3	Ddit3	DNA-damage inducible transcript 3	GO:0000122|GO:0001955|GO:0006351|GO:0006355|GO:0006915|GO:0006983|GO:0006986|GO:0007049|GO:0007050|GO:0016055|GO:0030968|GO:0032757|GO:0032792|GO:0034976|GO:0042594|GO:0042789|GO:0043065|GO:0043161|GO:0043392|GO:0043433|GO:0043525|GO:0044324|GO:0045454|GO:0045599|GO:0045662|GO:0045892|GO:0045893|GO:0045944|GO:0051209|GO:0051898|GO:0070059|GO:0090090|GO:1901216|GO:1903026|GO:1990440|GO:2000016	|499603	|13198	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Cish	Cish	cytokine inducible SH2-containing protein	GO:0006469|GO:0007205|GO:0009968|GO:0019221|GO:0035556|GO:0040008|GO:0046426|GO:0046627	492311	12700	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Kcnj2	Kcnj2	potassium inwardly-rectifying channel, subfamily J, member 2	GO:0006810|GO:0006811|GO:0006813|GO:0010107|GO:0014861|GO:0015693|GO:0034765|GO:0051289|GO:0055119|GO:0060306|GO:0071805|GO:0086001|GO:0086002|GO:0086004|GO:0086011|GO:0086013|GO:0086091|GO:0090076|GO:1901381	530165	16518	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Syncrip	Syncrip	synaptotagmin binding, cytoplasmic RNA interacting protein	GO:0001649|GO:0006397|GO:0008380|GO:0017148|GO:0070934|GO:0071346	626153|	56403|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ptn	Ptn	pleiotrophin	GO:0001503|GO:0007528|GO:0007612|GO:0010811|GO:0010976|GO:0030282|GO:0045837|GO:0051781|GO:0060221|GO:0071340|GO:2000347	|560508	|19242	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Kcnh1	Kcnh1	potassium voltage-gated channel, subfamily H (eag-related), member 1	GO:0000160|GO:0001964|GO:0006810|GO:0006811|GO:0006813|GO:0007165|GO:0034220|GO:0034765|GO:0042127|GO:0042391|GO:0055085|GO:0071277|GO:0071805	529993|	16510|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Dok5	Dok5	docking protein 5	GO:0000165|GO:0007169|GO:0007399|GO:0035556|GO:0051386	|731538	|76829	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Hdac1	Hdac1	histone deacetylase 1	GO:0000122|GO:0001975|GO:0006351|GO:0006355|GO:0006366|GO:0006476|GO:0007492|GO:0007623|GO:0008284|GO:0008285|GO:0009913|GO:0010629|GO:0010870|GO:0016568|GO:0016575|GO:0021766|GO:0030182|GO:0032732|GO:0032760|GO:0032922|GO:0034599|GO:0042475|GO:0042517|GO:0042733|GO:0043044|GO:0043066|GO:0043124|GO:0043524|GO:0043922|GO:0045892|GO:0045893|GO:0045944|GO:0046676|GO:0048511|GO:0048714|GO:0060766|GO:0060789|GO:0061029|GO:0061198|GO:0070932|GO:0070933|GO:0090090|GO:2000343|GO:2000676|GO:2000757|GO:2001243	885840	433759	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Gper1	Gper1	G protein-coupled estrogen receptor 1	GO:0001934|GO:0002376|GO:0002695|GO:0006366|GO:0006915|GO:0006954|GO:0007049|GO:0007165|GO:0007186|GO:0007204|GO:0007399|GO:0008284|GO:0008285|GO:0010579|GO:0010628|GO:0010629|GO:0014068|GO:0030154|GO:0030263|GO:0030264|GO:0030335|GO:0030518|GO:0030819|GO:0031959|GO:0032024|GO:0032962|GO:0043065|GO:0043280|GO:0043401|GO:0043410|GO:0045087|GO:0045599|GO:0045742|GO:0045745|GO:0045909|GO:0045944|GO:0050728|GO:0050769|GO:0051053|GO:0051055|GO:0051281|GO:0070374|GO:0070474|GO:0071157|GO:0071333|GO:0071356|GO:0071375|GO:0071389|GO:0071392|GO:0090004|GO:0090200|GO:2000353|GO:2001238	731649	76854	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Coq4	Coq4	coenzyme Q4 homolog (yeast)	GO:0006744	|811497	|227683	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Tapbpl	Tapbpl	TAP binding protein-like	GO:0002376|GO:0002590	|792454	|213233	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Sergef	Sergef	secretion regulating guanine nucleotide exchange factor	GO:0043547|GO:0050709	603860	27414	GPL11180|GPL1261|GPL339|GPL6096|GPL6246|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Lrp5	Lrp5	low density lipoprotein receptor-related protein 5	GO:0001702|GO:0001944|GO:0002053|GO:0002076|GO:0006007|GO:0006897|GO:0007275|GO:0008203|GO:0008217|GO:0008284|GO:0009952|GO:0016055|GO:0033690|GO:0035019|GO:0035108|GO:0035426|GO:0042074|GO:0042632|GO:0042733|GO:0042981|GO:0044332|GO:0045600|GO:0045668|GO:0045840|GO:0045893|GO:0045944|GO:0046849|GO:0046850|GO:0048539|GO:0051091|GO:0060033|GO:0060042|GO:0060070|GO:0060348|GO:0060349|GO:0060444|GO:0060603|GO:0060612|GO:0060764|GO:0060828|GO:0061178|GO:0061299|GO:0061304|GO:0071901|GO:1902262	|535493	|16973	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Cers5	Cers5	ceramide synthase 5	GO:0006629|GO:0006665|GO:0030148|GO:0046513	698403	71949	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Phrf1	Phrf1	PHD and ring finger domains 1	GO:0006366|GO:0006397|GO:0035556	|756755	|101471	GPL11180|GPL1261|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Irf1	Irf1	interferon regulatory factor 1	GO:0002376|GO:0002819|GO:0006351|GO:0006355|GO:0006366|GO:0006915|GO:0007050|GO:0007249|GO:0010468|GO:0010942|GO:0032481|GO:0032728|GO:0032825|GO:0034124|GO:0035458|GO:0042512|GO:0043374|GO:0045084|GO:0045087|GO:0045088|GO:0045590|GO:0045627|GO:0045629|GO:0045892|GO:0045893|GO:0045944|GO:0051607|GO:0060333|GO:0060416|GO:0071347|GO:0071356|GO:0071375|GO:2000564	528137	16362	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Eif4h	Eif4h	eukaryotic translation initiation factor 4H	GO:0006412|GO:0006413|GO:0019953|GO:0048589	590462|	22384|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Taf1c	Taf1c	TATA box binding protein (Tbp)-associated factor, RNA polymerase I, C	GO:0006351|GO:0006355|GO:0006360	|579242	|21341	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Col5a1	Col5a1	collagen, type V, alpha 1	GO:0001568|GO:0003007|GO:0007155|GO:0016477|GO:0030199|GO:0032964|GO:0035313|GO:0035989|GO:0043206|GO:0043588|GO:0045112|GO:0048592|GO:0051128|GO:1903225	|494227	|12831	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Mrpl24	Mrpl24	mitochondrial ribosomal protein L24	GO:0006412	663827	67707	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Neurl1b	Neurl1b	neuralized homolog 1b (Drosophila)	GO:0007219	832376	240055	GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Mdga2	Mdga2	MAM domain containing glycosylphosphatidylinositol anchor 2	GO:0007389	864047	320772	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Tada2a	Tada2a	transcriptional adaptor 2A	GO:0001932|GO:0006351|GO:0006355|GO:0006357|GO:0007067|GO:0016573|GO:0031063|GO:0031647|GO:0043966|GO:0090043	|798807	|217031	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Acads	Acads	acyl-Coenzyme A dehydrogenase, short chain	GO:0006629|GO:0006631|GO:0008152|GO:0033539|GO:0046359|GO:0051289|GO:0055114	474650	11409	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Sh3tc1	Sh3tc1	SH3 domain and tetratricopeptide repeats 1		|818676	|231147	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Lrp4	Lrp4	low density lipoprotein receptor-related protein 4	GO:0001822|GO:0001932|GO:0001942|GO:0006897|GO:0007275|GO:0008104|GO:0009953|GO:0009954|GO:0016055|GO:0030154|GO:0030178|GO:0030279|GO:0030326|GO:0042475|GO:0042733|GO:0043113|GO:0044332|GO:0048813|GO:0048856|GO:0050771|GO:0050808|GO:0051124|GO:0051290|GO:0060070|GO:0060173|GO:0071340|GO:0090090|GO:0097104|GO:0097105|GO:1901631	812564	228357	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Gnb2	Gnb2	guanine nucleotide binding protein (G protein), beta 2	GO:0007165|GO:0007186	514622	14693	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Dbt	Dbt	dihydrolipoamide branched chain transacylase E2	GO:0008152	499095	13171	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rabgap1l	Rabgap1l	RAB GTPase activating protein 1-like	GO:0032880|GO:0035855|GO:0043547	606556|	29809|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Pfkfb4	Pfkfb4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	GO:0006000|GO:0006003|GO:0008152|GO:0016310|GO:0016311|GO:0046835	|852936	|270198	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
